92,132,17
93,132,26
94,132,20
95,132,13
96,132,37
188,219,17
189,219,26
190,219,31
191,219,10
192,219,29
1557,1728,25
1558,1728,2
1559,1728,31
1560,1728,17
1956,2227,8
1957,2227,17
1958,2227,2
1959,2227,20
1960,2227,13
3667,3789,30
4014,4069,31
4126,4146,4
4127,4146,2
4128,4146,11
4129,4146,12
4130,4146,17
4219,4233,2
4220,4233,3
4221,4233,4
4222,4233,11
4223,4233,12
4224,4233,17
4225,4233,21
4345,4302,24
4346,4302,17
4347,4302,26
4348,4302,13
4993,4856,3
4994,4856,37
4995,4856,13
4996,4856,17
4997,4856,26
4998,4856,31
5924,5770,28
5925,5770,12
5926,5770,22
5927,5770,38
6620,6327,2
6621,6327,3
6622,6327,4
6623,6327,7
6624,6327,13
6625,6327,17
6626,6327,24
6627,6327,26
6628,6327,31
6771,6398,17
6772,6398,2
6773,6398,5
6774,6398,6
6775,6398,31
6846,6480,17
6847,6480,2
6848,6480,27
6849,6480,13
6850,6480,22
7256,6776,17
7257,6776,2
7258,6776,35
7259,6776,26
7260,6776,31
7930,7060,2
7931,7060,4
7932,7060,5
7933,7060,17
7934,7060,28
7935,7060,29
8069,7107,36
8472,7254,11
8473,7254,12
8474,7254,13
8475,7254,15
8476,7254,26
8477,7254,31
8747,7362,17
8748,7362,2
8749,7362,27
8750,7362,12
8751,7362,31
9696,7710,17
9697,7710,26
9698,7710,28
9703,7713,36
9704,7713,29
9705,7713,31
10009,7956,2
10010,7956,3
10011,7956,13
10012,7956,17
10013,7956,22
10014,7956,23
10408,8373,2
10409,8373,17
10410,8373,22
10411,8373,25
10412,8373,26
10413,8373,29
11018,8769,13
11019,8769,21
11020,8769,31
11523,9304,8
12295,9932,17
12296,9932,2
12297,9932,13
12298,9932,37
12384,9987,2
12385,9987,37
12386,9987,12
12387,9987,13
12388,9987,17
12389,9987,22
12390,9987,24
12404,9997,8
12405,9997,34
12406,9997,4
12407,9997,37
12791,10301,32
12792,10301,26
13137,10604,17
13138,10604,34
13139,10604,20
13140,10604,37
13141,10604,31
13412,10874,2
13413,10874,35
13414,10874,31
14046,11159,17
14047,11159,2
14048,11159,10
14779,11619,32
14780,11619,4
15204,11819,2
15205,11819,3
15206,11819,13
15207,11819,18
15208,11819,22
15209,11819,24
15255,11847,28
15256,11847,31
15321,11896,32
15322,11896,2
15323,11896,37
16089,12822,29
16448,13406,16
17681,15416,2
17682,15416,3
17683,15416,4
17684,15416,5
17685,15416,38
17686,15416,13
17687,15416,17
17688,15416,22
17689,15416,24
17690,15416,31
18898,16772,33
18899,16772,2
18900,16772,26
18901,16772,9
19360,17292,2
19361,17292,3
19362,17292,4
19363,17292,5
19364,17292,7
19365,17292,34
19366,17292,13
19367,17292,17
19368,17292,31
19739,17509,17
19740,17509,2
19741,17509,26
19742,17509,13
19856,17808,18
19857,17808,2
20268,18167,17
20269,18167,2
20270,18167,13
20271,18167,26
20272,18167,5
20535,18630,17
20536,18630,2
20537,18630,4
20538,18630,13
20664,18783,17
20665,18783,2
20666,18783,31
22007,21221,34
22008,21221,3
22009,21221,4
22010,21221,37
22011,21221,7
22012,21221,13
22013,21221,26
22577,21766,32
22578,21766,17
22579,21766,26
22586,21772,32
22587,21772,17
22588,21772,26
23089,22428,24
23090,22428,17
23091,22428,2
23092,22428,13
23657,23050,26
26028,25991,25
26029,25991,18
26030,25991,2
26865,27133,33
26866,27133,34
26867,27133,3
26868,27133,4
26869,27133,5
26870,27133,8
26871,27133,2
26872,27133,22
26873,27133,26
27534,28032,27
27535,28032,2
27536,28032,11
27537,28032,12
27538,28032,38
27558,28126,27
27559,28126,2
27560,28126,11
27561,28126,12
27562,28126,38
29188,31220,17
29189,31220,2
29190,31220,26
29191,31220,13
30539,33722,21
30540,33722,31
30746,33873,21
30747,33873,31
30880,33938,18
30881,33938,2
30882,33938,21
31065,34093,30
32106,35017,33
32107,35017,26
33234,37023,33
33945,38136,34
33946,38136,2
33947,38136,13
33948,38136,17
33949,38136,20
33950,38136,22
33951,38136,26
33952,38136,31
34972,39556,24
34973,39556,2
34974,39556,26
34975,39556,13
35445,40077,25
35446,40077,35
35538,40153,25
35539,40153,15
35540,40153,31
35662,40306,9
35663,40306,26
35664,40306,13
35665,40306,15
36261,40871,1
36262,40871,26
36263,40871,3
36264,40871,4
36265,40871,17
36998,41820,2
36999,41820,13
37000,41820,15
37001,41820,17
37002,41820,18
37003,41820,24
37004,41820,27
37019,41852,24
37020,41852,17
37021,41852,2
37022,41852,13
38121,43350,2
38122,43350,3
38123,43350,4
38124,43350,14
38125,43350,17
38126,43350,22
38127,43350,31
38536,44004,2
38537,44004,37
38844,44438,1
38845,44438,2
38846,44438,31
38847,44438,4
38848,44438,17
40129,46592,17
40130,46592,2
40131,46592,11
40132,46592,4
40776,47805,1
40777,47805,2
40778,47805,37
40779,47805,9
40780,47805,13
40781,47805,17
40782,47805,26
42718,53469,2
42719,53469,4
42720,53469,5
42721,53469,6
42722,53469,9
42723,53469,17
43582,55829,2
43583,55829,22
43584,55829,31
44878,57826,2
44879,57826,37
44880,57826,10
44881,57826,34
44882,57826,17
44883,57826,20
44884,57826,22
44885,57826,31
45070,58242,6
45071,58242,22
45239,58848,2
45240,58848,26
45241,58848,38
45287,59062,2
45288,59062,23
45614,59597,17
45615,59597,2
45616,59597,11
45617,59597,12
45618,59597,21
46443,60721,34
46444,60721,5
46713,60981,2
46714,60981,11
46715,60981,12
46716,60981,21
53495,72429,16
53496,72429,13
54842,74956,24
54843,74956,17
54844,74956,2
54845,74956,13
54846,74956,22
55056,75398,24
55057,75398,2
55058,75398,13
55059,75398,22
55202,75663,24
55203,75663,2
55204,75663,31
55443,76411,35
55855,77257,26
55856,77257,13
56439,78695,17
56440,78695,2
56441,78695,23
57674,80662,28
57675,80662,38
57952,81047,34
57953,81047,2
57954,81047,37
57955,81047,22
57956,81047,13
58417,81846,17
58418,81846,2
58419,81846,26
58420,81846,31
59053,82527,2
59054,82527,3
59055,82527,4
59056,82527,7
59057,82527,13
59058,82527,16
59059,82527,17
59060,82527,22
59061,82527,26
59118,82584,1
59119,82584,18
59120,82584,2
59298,82926,18
59299,82926,2
59730,83912,31
61701,87771,21
61702,87771,6
61712,87800,18
61713,87800,2
63545,90724,14
63853,91284,29
64460,92580,2
64461,92580,10
64462,92580,15
65238,94294,36
65239,94294,31
65337,94603,9
65590,95282,24
65591,95282,2
65592,95282,26
65593,95282,13
66169,96332,9
66170,96332,26
66192,96361,23
66811,97506,3
66812,97506,35
66813,97506,19
66814,97506,15
66866,97740,26
66867,97740,4
66868,97740,5
66869,97740,7
67402,98644,7
67403,98644,26
67404,98644,3
67405,98644,37
67406,98644,13
67722,99538,2
67723,99538,13
68485,101082,17
68486,101082,2
68487,101082,26
68488,101082,13
69076,102047,17
69077,102047,3
69078,102047,37
70987,106009,17
70988,106009,12
70989,106009,15
70993,106027,14
72798,109564,36
72799,109564,31
74755,113250,17
74756,113250,2
74757,113250,3
74758,113250,4
74759,113250,26
75448,114030,25
75449,114030,3
75450,114030,13
75451,114030,17
75872,114749,17
75873,114749,2
75874,114749,3
75875,114749,26
75876,114749,13
76825,115899,2
76826,115899,3
76827,115899,10
76828,115899,11
76829,115899,17
76830,115899,26
77700,117328,8
77701,117328,5
78344,118240,9
78345,118240,2
78346,118240,26
78347,118240,6
78348,118240,17
79074,119322,9
79075,119322,15
79076,119322,31
80971,122057,23
80972,122057,22
80973,122057,15
82526,124718,2
82527,124718,3
82528,124718,10
82529,124718,34
82530,124718,15
82531,124718,17
82532,124718,19
82533,124718,22
83029,125488,2
83030,125488,35
83031,125488,15
83032,125488,25
83033,125488,26
83034,125488,31
83166,125760,17
83167,125760,5
83168,125760,37
84413,127428,26
84414,127428,11
84554,127697,5
84555,127697,6
84727,128087,30
85049,128637,17
85050,128637,26
85051,128637,13
85052,128637,37
85058,128662,4
85059,128662,36
85060,128662,22
85061,128662,31
85197,128857,1
85198,128857,6
85419,129483,17
85420,129483,2
85421,129483,37
85662,129899,30
86270,131048,8
86271,131048,17
86272,131048,13
86273,131048,31
86726,131765,37
86727,131765,13
